E_z,Grouping_error,Element_ID,E_z after Grouping,Amount of Elements in Group
9547.15655205,0.0,13727,9547.15655205,7.0
9427.30761693,119.84893512000053,15603,8592.440896845,30.0
9409.84683948,137.30971257000056,7012,7733.196807160501,41.0
9402.604611869998,144.55194018000293,11741,6959.87712644445,94.0
9357.098984059998,190.057567990003,330,6263.889413800005,104.0
9232.30906983,314.84748222000053,8314,5637.500472420004,162.0
9138.248334389998,408.90821766000226,13737,5073.750425178004,212.0
9033.595001940002,441.1541050950018,12324,4566.375382660203,254.0
9024.62454177,432.1836449249986,11409,4109.737844394183,282.0
9005.418307330001,412.9774104850003,11963,3698.7640599547653,319.0
9000.73853032,408.2976334750001,13450,3328.887653959289,391.0
8860.05677091,267.61587406499893,19064,2995.99888856336,360.0
8841.49433733,249.05344048499865,21927,2696.3989997070244,411.0
8817.134148399999,224.69325155499791,4635,2426.759099736322,402.0
8763.528724839998,171.0878279949975,16187,2184.0831897626895,451.0
8748.47606463,156.03516778499943,12497,1965.6748707864206,471.0
8701.46774671,109.02684986499844,5718,1769.1073837077786,500.0
8690.868135980001,98.42723913500049,10383,1592.1966453370007,526.0
8668.101682559998,75.66078571499747,6773,1432.9769808033006,619.0
8643.93065747,51.48976062499969,11390,1289.6792827229706,635.0
8590.49358475,1.9473120950005978,5761,1160.7113544506735,586.0
8586.25889826,6.1819985850015655,13846,1044.6402190056062,650.0
8561.55191544,30.888981404999868,16563,940.1761971050456,638.0
8546.196007370001,46.24488947499958,3312,846.1585773945411,593.0
8506.6464745,85.7944223450013,22280,761.542719655087,621.0
8492.79289621,99.64800063500115,13141,685.3884476895784,644.0
8466.8711183,125.5697785450011,17620,616.8496029206206,566.0
8455.434989129999,137.00590771500174,16572,555.1646426285586,572.0
8454.370522269997,138.07037457500337,16901,499.64817836570273,566.0
8431.86584374,160.57505310499982,20623,449.6833605291325,587.0
8332.27859972,260.1622971249999,17126,404.71502447621924,642.0
8302.525904329998,289.9149925150032,14021,364.24352202859734,756.0
8296.56563921,295.8752576349998,5831,327.8191698257376,809.0
8242.342254789997,350.09864205500344,60,295.03725284316386,875.0
8222.87730858,369.56358826500036,5239,265.5335275588475,914.0
8208.28573701,384.15515983500154,2166,238.98017480296275,958.0
8181.79866264,410.64223420500093,8277,215.0821573226665,883.0
8161.036649149997,427.83984198949656,12020,193.57394159039984,820.0
8140.309144269998,407.1123371094973,10190,174.21654743135986,760.0
8132.35570595,399.1588987894993,16624,156.79489268822388,663.0
8081.6082274499995,348.4114202894989,13275,141.1154034194015,534.0
7956.6299027999985,223.43309563949788,3502,127.00386307746136,438.0
7940.90169392,207.70488675949946,5511,114.30347676971523,338.0
7917.649500530001,184.4526933695006,13425,102.87312909274371,254.0
7915.84999254,182.65318537949952,588,92.58581618346935,220.0
7900.408329329999,167.2115221694985,7546,83.32723456512241,166.0
7900.203374069999,167.00656690949836,22560,74.99451110861017,117.0
7896.844886139998,163.64807897949777,12815,67.49505999774915,90.0
7858.21898025,125.02217308949912,15210,60.74555399797424,69.0
7794.75246394,61.55565677949926,11149,54.670998598176816,53.0
7793.994687340003,60.7978801795025,16071,49.203898738359136,39.0
7784.443082679999,51.24627551949834,7937,44.28350886452322,21.0
7776.04608342,42.849276259499675,11816,39.8551579780709,7.0
7731.264303419998,1.9325037405023977,4309,0.997636580951836,51.0
7701.581458199999,31.61534896050125,1180,,
7690.7500867,42.44672046050073,11010,,
7666.31890757,66.87789959050042,13773,,
7657.268089049999,75.9287181105019,15376,,
7611.99769607,121.19911109050099,2848,,
7608.878999670001,124.31780749049994,3083,,
7592.19108179,141.00572537050084,1423,,
7549.484676179999,183.71213098050157,16424,,
7535.604992409999,197.59181475050173,17721,,
7527.663029950001,205.53377721049947,14631,,
7523.45034929,209.7464578705003,17960,,
7521.26659638,211.9302107805006,2128,,
7519.05441375,214.14239341050052,21627,,
7490.206390890001,242.99041627049974,7796,,
7455.252146330001,277.94466083049974,12768,,
7424.760312609999,308.43649455050127,2380,,
7424.707292939998,308.4895142205023,11629,,
7416.18876784,317.00803932050076,16391,,
7391.545901269999,341.65090589050124,4322,,
7384.3779516899995,348.81885547050115,15426,,
7384.138186279999,349.0586208805016,601,,
7359.35920853,373.8375986305009,8168,,
7355.547411299999,377.6493958605015,20189,,
7347.10692993,386.08987723050086,17124,,
7328.99312077,369.11599432554976,15514,,
7323.497141579999,363.6200151355488,5789,,
7321.743960319999,361.86683387554876,14586,,
7318.0851372100005,358.20801076555017,9963,,
7314.406896579997,354.52977013554664,14354,,
7309.64354688,349.76642043554966,16211,,
7295.12037997,335.24325352554933,20082,,
7292.99256139,333.1154349455501,16626,,
7279.20682889,319.32970244554963,19076,,
7276.856906449997,316.9797800055467,11354,,
7275.116823669999,315.2396972255483,20022,,
7274.15979377,314.2826673255495,21067,,
7271.809722700001,311.9325962555504,22281,,
7268.582432550001,308.70530610555033,4000,,
7262.12555016,302.2484237155495,1969,,
7257.14036572,297.2632392755495,4780,,
7251.1231492,291.24602275554935,2892,,
7234.541444449999,274.6643180055489,15316,,
7230.36962855,270.49250210554965,12758,,
7207.880850990001,248.00372454555054,2760,,
7207.32629864,247.44917219554918,17717,,
7201.50356467,241.62643822554946,14976,,
7194.019805019998,234.1426785755475,4975,,
7188.751458279999,228.87433183554822,13380,,
7185.14850747,225.27138102555,9133,,
