E_z,Grouping_error,Element_ID,E_z after Grouping,Amount of Elements in Group
9547.15655205,712.4847140718011,13727,8834.6718379782,38.0
9427.30761693,592.6357789518006,15603,7470.3405138809985,104.0
9409.84683948,575.1750015018006,7012,6190.169675024451,226.0
9402.604611869998,567.9327738917982,11741,4998.75845438615,463.0
9357.098984059998,522.4271460817981,330,3901.649233706412,804.0
9232.30906983,397.6372318518006,8314,2905.7121548087603,1175.0
9138.248334389998,303.57649641179887,13737,2019.7972426199021,1796.0
9033.595001940002,198.92316396180286,12324,1255.9596889288455,3226.0
9024.62454177,189.95270379179965,11409,632.1541614167545,4783.0
9005.418307330001,170.74646935180135,11963,180.1202122207539,10156.0
9000.73853032,166.06669234180117,13450,,
8860.05677091,25.384932931799995,19064,,
8841.49433733,6.822499351799706,21927,,
8817.134148399999,17.537689578201025,4635,,
8763.528724839998,71.14311313820144,16187,,
8748.47606463,86.19577334819951,12497,,
8701.46774671,133.2040912682005,5718,,
8690.868135980001,143.80370199819845,10383,,
8668.101682559998,166.57015541820147,6773,,
8643.93065747,190.74118050819925,11390,,
8590.49358475,244.17825322819954,5761,,
8586.25889826,248.4129397182005,13846,,
8561.55191544,273.1199225381988,16563,,
8546.196007370001,288.4758306081985,3312,,
8506.6464745,328.02536347820023,22280,,
8492.79289621,341.8789417682001,13141,,
8466.8711183,367.80071967820004,17620,,
8455.434989129999,379.2368488482007,16572,,
8454.370522269997,380.3013157082023,16901,,
8431.86584374,402.80599423819876,20623,,
8332.27859972,502.39323825819883,17126,,
8302.525904329998,532.1459336482021,14021,,
8296.56563921,538.1061987681987,5831,,
8242.342254789997,592.3295831882024,60,,
8222.87730858,611.7945293981993,5239,,
8208.28573701,626.3861009682005,2166,,
8181.79866264,652.8731753381999,8277,,
8161.036649149997,673.6351888282024,12020,,
8140.309144269998,669.9686303889994,10190,,
8132.35570595,662.0151920690014,16624,,
8081.6082274499995,611.267713569001,13275,,
7956.6299027999985,486.289388919,3502,,
7940.90169392,470.56118003900156,5511,,
7917.649500530001,447.3089866490027,13425,,
7915.84999254,445.5094786590016,588,,
7900.408329329999,430.0678154490006,7546,,
7900.203374069999,429.86286018900046,22560,,
7896.844886139998,426.50437225899987,12815,,
7858.21898025,387.8784663690012,15210,,
7794.75246394,324.41195005900136,11149,,
7793.994687340003,323.6541734590046,16071,,
7784.443082679999,314.10256879900044,7937,,
7776.04608342,305.7055695390018,11816,,
7731.264303419998,260.9237895389997,4309,,
7701.581458199999,231.24094431900085,1180,,
7690.7500867,220.40957281900137,11010,,
7666.31890757,195.97839368900168,13773,,
7657.268089049999,186.9275751690002,15376,,
7611.99769607,141.6571821890011,2848,,
7608.878999670001,138.53848578900215,3083,,
7592.19108179,121.85056790900126,1423,,
7549.484676179999,79.14416229900053,16424,,
7535.604992409999,65.26447852900037,17721,,
